what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1710404841217
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1710404841807
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1710404841817
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1710404843227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404845018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404851631
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1710404852742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404854632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404856863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404858834
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404873381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404876015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404910599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404917115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404930899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404932902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404969075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404975268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404977130
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1710404977470
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1710404977480
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1710404979610
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1710404980291
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1710404980301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710404994123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710405000204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1710405001292
