what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613550013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613554151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613564098
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1711613565545
started,bundle,org.eclipse.core.databinding,1.4.0.I20110111-0800,"org.eclipse.core.databinding",1711613572593
started,bundle,org.eclipse.core.databinding.property,1.4.0.I20110222-0800,"org.eclipse.core.databinding.property",1711613572604
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711613572867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613589830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1711613589863
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711613591321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613601922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613604212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613612013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613614511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613614840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613618528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613622629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613624174
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1711613624500
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1711613626421
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1711613626901
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1711613629509
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go] return code: 4, 'other error'",1711613632554
error,log,,,"Downloading ELF Process failed",1711613632554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613632583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613635869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613642624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613643981
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1711613643990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613644413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613645372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613645701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613647712
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613657389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613659979
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1711613665180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1711613666506
